Model,MSE,R2,Accuracy
Simple Linear Regression,0.5084506273269653,-0.038086771965026855,
Multiple Linear Regression,0.3401775360107422,0.3054708242416382,
Age Prediction,0.3401775360107422,0.3054708242416382,0.42857142857142855
